language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
yue,4107,肥肥白白,chubby and cute [written and colloquial],chubby and cute [written and colloquial],,1,count,z,,fei4fei4baak6baak6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肥肥白白,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,肥肥白白,source_dictionary_gloss,https://cc-canto.org/
yue,4108,背影,rear view; figure seen from behind; view of the back (of a person or object),rear view; figure seen from behind; view of the back (of a person or object),,1,count,n,,bui3jing2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,背影,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,背影,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4109,背後,behind; at the back; in the rear; behind sb's back,behind; at the back; in the rear; behind sb's back,,1,count,f,,bui3hau6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,背后,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,背后,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4110,背心,"sleeveless garment (vest, waistcoat, singlet, tank top etc)","sleeveless garment (vest, waistcoat, singlet, tank top etc)",,1,count,n,,bui3sam1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,背心,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,背心,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4111,背景,background; backdrop; context; (fig.) powerful backer,background; backdrop; context; (fig.) powerful backer,,1,count,n,,bui3ging2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,背景,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,背景,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4112,能,can; to be able to; might possibly; ability,can; to be able to; might possibly; ability,,1,count,vu,,nang4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,能,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,能,source_dictionary_gloss,https://cc-canto.org/
yue,4113,脹,dropsical; swollen; to swell; to be bloated,dropsical; swollen; to swell; to be bloated,,1,count,a,,zoeng3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,脹,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,脹,source_dictionary_gloss,https://cc-canto.org/
yue,4114,腦電波,see 腦波|脑波[nao3 bo1],see 腦波|脑波[nao3 bo1],,1,count,n,,nou5din6bo1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,脑电波,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,脑电波,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4115,腫脹,swelling; oedema; internal bruising,swelling; oedema; internal bruising,,1,count,v,,zung2zoeng3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肿胀,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,肿胀,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4116,腸,intestines; sausage,intestines; sausage,,1,count,n,,coeng2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,腸,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,腸,source_dictionary_gloss,https://cc-canto.org/
